Symbol,industry
LINCOLN.NS,Drug Manufacturers—Specialty & Generic
KFINTECH.NS,Software—Application
PRECAM.NS,Auto Parts
SHOPERSTOP.NS,Department Stores
SHK.NS,Household & Personal Products
TVTODAY.NS,Broadcasting
MANYAVAR.NS,Apparel Retail
NAVA.NS,Conglomerates
EDELWEISS.NS,Capital Markets
DCXINDIA.NS,Aerospace & Defense
POLYPLEX.NS,Specialty Chemicals
HMAAGRO.NS,
NH.NS,Medical Care Facilities
PRITI.NS,Furnishings, Fixtures & Appliances
SJVN.NS,Utilities—Renewable
INTENTECH.NS,Software—Infrastructure
NAUKRI.NS,Internet Content & Information
JBMA.NS,Auto Parts
TIDEWATER.NS,Specialty Chemicals
MAPMYINDIA.NS,Software—Application
KEI.NS,Electrical Equipment & Parts
VBL.NS,Beverages—Non-Alcoholic
EIHAHOTELS.NS,Lodging
INFIBEAM.NS,Software—Infrastructure
KELLTONTEC.NS,Software—Application
TIMKEN.NS,Tools & Accessories
TANLA.NS,Software—Application
VINATIORGA.NS,Specialty Chemicals
TRIL.NS,Electrical Equipment & Parts
GET&D.NS,Specialty Industrial Machinery
TAKE.NS,Biotechnology
PCBL.NS,Specialty Chemicals
ONEPOINT.NS,Specialty Business Services
MIDHANI.NS,Steel
MUNJALSHOW.NS,Auto Parts
KEC.NS,Engineering & Construction
MARKSANS.NS,Drug Manufacturers—General
MEDPLUS.NS,Pharmaceutical Retailers
SANGHVIMOV.NS,Rental & Leasing Services
MSTCLTD.NS,Conglomerates
SUVENPHAR.NS,Drug Manufacturers—Specialty & Generic
SYNCOMF.NS,Drug Manufacturers—Specialty & Generic
TMB.NS,Banks—Regional
TALBROAUTO.NS,Auto Parts
SKIPPER.NS,Engineering & Construction
EMAMILTD.NS,Household & Personal Products
STEELCITY.NS,Capital Markets
RAINBOW.NS,Medical Care Facilities
BSE.NS,Financial Data & Stock Exchanges
SAKSOFT.NS,Information Technology Services
PRSMJOHNSN.NS,Building Materials
J&KBANK.NS,Banks—Regional
JTEKTINDIA.NS,Auto Parts
HGS.NS,Specialty Business Services
ASHOKA.NS,Engineering & Construction
BLS.NS,Specialty Business Services
PARAS.NS,Aerospace & Defense
TRIDENT.NS,Textile Manufacturing
SUZLON.NS,Specialty Industrial Machinery
EKC.NS,Specialty Industrial Machinery
LATENTVIEW.NS,Consulting Services
CENTRALBK.NS,Banks—Regional
JAICORPLTD.NS,Specialty Chemicals
DECCANCE.NS,Building Materials
IBREALEST.NS,Real Estate—Development
GTLINFRA.NS,Communication Equipment
SYNGENE.NS,Biotechnology
MENONBE.NS,Auto Parts
GPIL.NS,Steel
PRAJIND.NS,Engineering & Construction
NCC.NS,Engineering & Construction
KALYANKJIL.NS,Luxury Goods
DISHTV.NS,Entertainment
FORTIS.NS,Medical Care Facilities
ADSL.NS,Information Technology Services
LODHA.NS,Real Estate—Development
BRIGADE.NS,Real Estate—Development
SECURCRED.NS,Specialty Business Services
LXCHEM.NS,Specialty Chemicals
JMA.NS,Auto Parts
SALZERELEC.NS,Electrical Equipment & Parts
MOTHERSON.NS,Auto Parts
MIRZAINT.NS,Footwear & Accessories
EMIL.NS,Internet Retail
MAHSEAMLES.NS,Steel
UCOBANK.NS,Banks—Regional
HARSHA.NS,Tools & Accessories
TVSELECT.NS,Computer Hardware
GESHIP.NS,Marine Shipping
SWSOLAR.NS,Solar
JUBLPHARMA.NS,Drug Manufacturers—Specialty & Generic
INDIANB.NS,Banks—Regional
NEULANDLAB.NS,Drug Manufacturers—Specialty & Generic
TRACXN.NS,Software—Application
HIKAL.NS,Drug Manufacturers—Specialty & Generic
SUVEN.NS,Drug Manufacturers—Specialty & Generic
SBICARD.NS,Credit Services
SPLPETRO.NS,Chemicals
MEDANTA.NS,Medical Care Facilities
NUVOCO.NS,Building Materials
JINDALSAW.NS,Steel
