Symbol,industry
SKFINDIA.NS,Tools & Accessories
CGPOWER.NS,Electrical Equipment & Parts
SHREDIGCEM.NS,Building Materials
TRENT.NS,Apparel Retail
APOLLOTYRE.NS,Auto Parts
POKARNA.NS,Building Products & Equipment
BALMLAWRIE.NS,Conglomerates
SUNDRMFAST.NS,Auto Parts
FLEXITUFF.NS,Textile Manufacturing
SANDHAR.NS,Auto Parts
RANEHOLDIN.NS,Auto Parts
BECTORFOOD.NS,Packaged Foods
ASIANPAINT.NS,Specialty Chemicals
SMCGLOBAL.NS,Capital Markets
INDUSINDBK.NS,Banks—Regional
WONDERLA.NS,Leisure
KSL.NS,Steel
LTIM.NS,Information Technology Services
CAPACITE.NS,Engineering & Construction
MINDTECK.NS,Information Technology Services
MARATHON.NS,Real Estate—Development
CRISIL.NS,Financial Data & Stock Exchanges
SHALBY.NS,Medical Care Facilities
EPL.NS,Packaging & Containers
SEAMECLTD.NS,Marine Shipping
GICRE.NS,Insurance—Reinsurance
VAIBHAVGBL.NS,Luxury Goods
JIOFIN.NS,Asset Management
KOKUYOCMLN.NS,Business Equipment & Supplies
HEG.NS,Electrical Equipment & Parts
ACC.NS,Building Materials
FEDERALBNK.NS,Banks—Regional
TEXRAIL.NS,Specialty Industrial Machinery
